ID,NAME,SHIRT NAME,CALL NAME,AGE,INJURY TOLERANCE,DRIBBLE STYLE,FK STYLE,PK STYLE,DK STYLE,GOAL CELEBRATION 1,GOAL CELEBRATION 2,GROWTH TYPE,SPECIFIC GROWTH TYPE,CONSISTENCY,STRONG FOOT,FAVOURED SIDE,REGISTERED POSITION,GK,SW,CB,SB,DM,WB,CM,SM,AM,WF,SS,CF,NATIONALITY,INTERNATIONAL NUMBER,CLASSIC NUMBER,CLUB TEAM,CLUB NUMBER,FACE TYPE,SKIN COLOR,HEAD HEIGHT,HEAD WIDTH,HEAD POSITION,PRESET FACE NUMBER,BROWS TYPE,BROWS ANGLE,BROWS HEIGHT,EYEBROW SPACING,EYES TYPE,EYES POSITION,EYES ANGLE,EYES LENGTH,EYES WIDTH,EYE COLOR 1,EYE COLOR 2,NOSE TYPE,NOSE HEIGHT,NOSE WIDTH,CHEEK TYPE,CHEEK SHAPE,MOUTH TYPE,MOUTH SIZE,MOUTH POSITION,JAW TYPE,CHIN HEIGHT,CHIN WIDTH,HAIR TYPE,HAIR SHAPE,HAIR FRONT,HAIR VOLUME,HAIR DARKNESS,HAIR COLOR TYPE,HAIR COLOR PATTERN,HAIR COLOR RGB-R,HAIR COLOR RGB-G,HAIR COLOR RGB-B,BANDANA TYPE,BANDANA COLOR,CAP,CAP TYPE,FACIAL HAIR TYPE,FACIAL HAIR COLOR,GLASSES TYPE,GLASSES COLOR,HEIGHT,WEIGHT,NECK LENGTH,NECK WIDTH,SHOULDER HEIGHT,SHOULDER WIDTH,CHEST MEASUREMENT,WAIST CIRCUMFERENCE,ARM CIRCUMFERENCE,LEG CIRCUMFERENCE,CALF CIRCUMFERENCE,LEG LENGTH,NECK WARMER,NECKLACE TYPE,NECKLACE COLOR,WRISTBAND,WRISTBAND COLOR,BRACELET TYPE,BRACELET COLOR,GLOVES,FINGER BAND TYPE,SHIRT TYPE,SLEEVE LENGTH,UNDER SHORTS,UNDER SHORTS COLOR,SOCKS TYPE,ANKLE TAPE,ATTACK,DEFENSE,BALANCE,STAMINA,TOP SPEED,ACCELERATION,RESPONSE,AGILITY,DRIBBLE ACCURACY,DRIBBLE SPEED,SHORT PASS ACCURACY,SHORT PASS SPEED,LONG PASS ACCURACY,LONG PASS SPEED,SHOT ACCURACY,SHOT POWER,SHOT TECHNIQUE,FREE KICK ACCURACY,SWERVE,HEADING,JUMP,TECHNIQUE,AGGRESSION,MENTALITY,GOALKEEPING,TEAMWORK,CONDITION,WEAK FOOT ACCURACY,WEAK FOOT FREQUENCY,DRIBBLING,TACTICAL DRIBBLE,POSITIONING,REACTION,PLAYMAKING,PASSING,SCORING,1-1 SCORING,POST PLAYER,LINES,MIDDLE SHOOTING,SIDE,CENTRE,PENALTIES,1-TOUCH PASS,OUTSIDE,MARKING,SLIDING,COVERING,D-LINE CONTROL,PENALTY STOPPER,1-ON-1 STOPPER,LONG THROW
1,Macho,M  A  C  H  O,9401,29,B,1,1,1,1,N,N,Standard/Lasting,81,5,L,B,GK,1,0,0,0,0,0,0,0,0,0,0,0,Austria,1,0,,0,Build,1,0,0,0,1,20,-1,-2,0,30,0,0,1,1,1,Black 2,3,-1,0,3,0,6,-1,-1,1,-2,0,Very Short 2,1,1,NA,NA,Pattern,10,63,63,63,NA,White,N,1,N,Same,N,1,193,87,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,30,83,83,63,67,62,89,73,49,55,54,59,57,65,38,75,38,37,43,45,83,52,60,82,81,70,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Scharner,SCHARNER,9114,26,A,1,1,1,1,N,N,Standard,3,4,R,R,CB,0,0,1,1,1,0,1,0,0,0,0,0,Austria,4,0,Wigan Athletic FC,18,Build,1,-7,-1,0,1,20,-1,-3,0,2,-1,-3,0,0,1,Dark Grey 2,6,0,0,1,0,4,0,0,2,0,0,Buzz Cut,1,1,NA,1,Pattern,9,63,63,63,NA,White,N,1,64,9,N,1,191,80,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,62,74,84,81,72,71,70,68,72,69,75,68,72,71,65,78,62,57,52,72,74,72,62,70,50,65,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Stranzl,S T R A N Z L,8392,26,A,1,1,1,1,N,N,Standard,57,5,R,B,SB,0,0,1,1,0,1,0,1,0,0,0,0,Austria,3,0,,0,Build,1,-2,0,0,1,18,-1,-3,0,12,0,0,-1,1,1,Black 2,1,1,0,3,2,8,-1,0,1,-1,1,Curly 2,3,1,1,NA,Pattern,9,63,63,63,NA,White,N,1,N,Same,N,1,190,82,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,Y,Same,Standard,N,65,75,85,78,75,70,76,70,71,70,73,70,70,67,62,83,67,70,64,76,72,72,67,70,50,77,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,Dober,D  O  B  E  R,11619,20,A,1,1,1,1,N,N,Standard,-103,5,R,R,SB,0,0,0,1,0,0,0,0,0,0,0,0,Austria,2,0,Djurgardens IF,15,Build,1,2,-2,0,1,22,-1,-3,-3,30,0,1,-1,0,1,Black 2,8,1,-2,3,3,6,1,0,7,-1,0,Very Short 2,3,6,NA,NA,Pattern,10,63,63,63,NA,White,N,1,N,Same,N,1,183,76,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,White,Standard,N,68,60,80,83,78,77,70,73,73,76,66,68,70,70,55,77,57,54,66,65,76,72,75,68,50,74,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Pogatetz,POGATETZ,8841,23,A,1,1,1,1,N,N,Standard,63,4,L,L,SB,0,0,1,1,0,1,0,0,0,0,0,0,Austria,5,0,Middlesbrough FC,12,Build,1,0,0,0,1,13,0,-1,0,2,0,-3,-1,-1,1,Brown 2,8,0,-2,5,0,10,0,-1,2,-2,-1,Buzz Cut,1,1,NA,1,Pattern,12,63,63,63,NA,White,N,1,N,Same,N,1,187,82,0,0,1,1,0,0,0,-1,-2,2,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,68,65,75,80,75,72,67,71,74,68,70,69,81,81,67,84,62,75,77,68,76,78,67,69,50,67,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Kiesenebner,KIESENEBNER,10970,27,A,1,1,1,1,N,N,Standard,42,4,R,R,CM,0,0,0,0,0,0,1,1,0,0,0,0,Austria,8,0,,0,Build,1,0,-3,0,1,3,-2,-3,0,11,-2,-3,-1,-1,1,Blue 2,6,1,2,5,0,1,1,-1,7,0,0,Very Short 2,1,1,NA,NA,Pattern,55,63,63,63,NA,White,N,1,91,10,N,1,181,80,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,66,66,83,84,76,74,76,71,73,74,74,72,73,77,60,83,62,75,73,71,72,72,67,74,50,72,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Aufhauser,AUFHAUSER,9115,30,A,1,1,1,1,N,N,Standard,52,5,R,B,DM,0,0,0,0,1,0,1,0,0,0,0,0,Austria,6,0,,0,Build,1,-1,-3,0,1,12,1,-3,-3,11,1,-3,-3,-3,2,Dark Grey 1,3,-1,-1,5,0,12,1,-2,2,-3,-1,Straight 1,1,8,1,NA,Pattern,12,63,63,63,N,White,N,1,N,Same,N,1,185,80,0,0,1,1,0,0,0,-1,-2,2,N,N,White,N,None,None,White,Y,N,Standard,Auto,N,Same,Standard,Y,61,67,82,82,72,71,77,70,73,74,78,74,79,76,69,80,64,75,77,73,73,76,61,74,50,72,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Schopp,S C H O P P,8394,32,A,1,1,1,1,N,N,Standard,112,6,R,R,SM,0,0,0,0,1,1,1,1,0,0,0,0,Austria,7,0,ADO Den Haag,14,Build,1,0,0,0,1,15,-2,-3,0,29,0,-1,-2,-2,1,Dark Grey 2,6,-3,0,3,0,10,-1,-2,1,-3,-2,Straight 2,1,1,3,NA,Pattern,19,63,63,63,N,White,N,1,92,14,N,1,188,82,0,0,1,1,0,0,0,-1,-2,2,N,N,White,N,None,None,White,N,1,Standard,Auto,N,Same,Standard,Y,70,66,81,83,82,72,70,75,77,72,75,77,82,78,69,80,72,77,82,73,73,81,70,72,50,72,5,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Ivanschitz,IVANSCHITZ,9757,23,A,1,2,1,1,N,N,Standard/Lasting,-127,5,L,L,AM,0,0,0,0,0,0,1,1,1,0,0,0,Austria,10,0,,0,Build,1,-3,1,0,1,16,2,-3,0,19,0,0,-2,-2,1,Brown 2,3,-2,-1,5,0,1,1,-1,7,-2,0,Very Short 1,3,2,NA,NA,Pattern,11,63,63,63,NA,White,N,1,80,7,N,1,183,79,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,76,52,71,86,80,83,69,75,80,70,82,75,83,84,69,80,65,81,76,67,75,80,65,67,50,68,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,Linz,L  I  N  Z,9117,25,A,1,1,1,1,N,N,Standard,26,4,R,B,CF,0,0,0,0,0,0,0,0,0,0,0,1,Austria,9,0,,0,Build,1,-1,0,0,1,16,2,-3,0,16,0,-3,-3,-3,1,Blue 2,3,0,1,5,0,1,1,0,2,0,-2,Very Short 2,1,1,NA,NA,Pattern,12,63,63,63,NA,White,N,1,N,Same,N,1,185,72,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,76,38,81,82,83,86,76,75,70,77,71,68,63,66,76,78,74,62,58,80,83,73,83,70,50,68,5,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
