id	descargado	version
7601284	1	4.06
153994	1	3.08
95079966	0	N/A
902215	1	4.06
2000167699	0	N/A
5370511	1	4.01
5680952	0	N/A
5360698	1	3.02
5385013	1	4.07
5660389	0	N/A
153977	0	N/A
1200824	0	N/A
5250111	0	N/A
309270	0	N/A
120976	0	N/A
5280398	0	N/A
8835877	1	4.08
5290240	0	N/A
5512565	0	N/A
150127	1	3.05
1009292	1	3.05
457296	1	3.02
145622	1	3.05
2010119	0	N/A
778081	0	N/A
7100040	0	N/A
7100073	0	N/A
3900678	0	N/A
2010131	0	N/A
3900623	0	N/A
2010145	0	N/A
3900637	0	N/A
106020	0	N/A
775124	0	N/A
3900425	0	N/A
3900305	0	N/A
3901016	0	N/A
7100027	0	N/A
783142	1	3.01
144970	1	3.03
23006948	1	4.10
144973	0	N/A
7920103	0	N/A
7920418	0	N/A
1021867	0	N/A
5704751	0	N/A
5131130	0	N/A
6701339	0	N/A
2005705	0	N/A
2005492	1	4.03
2005497	1	3.02
128073	0	N/A
7501700	0	N/A
2015760	0	N/A
8428755	1	4.10
5370573	0	N/A
915739	1	3.02
10234	0	N/A
7601408	1	4.08
8444529	1	3.11
919982	0	N/A
3300663	0	N/A
55002409	0	N/A
116350	1	3.08
34000617	0	N/A
3503289	0	N/A
8652	0	N/A
910800	0	N/A
3502929	1	4.06
837151	0	N/A
7988370	1	3.04
705884	0	N/A
2108801	1	4.01
3994	1	3.12
65	0	N/A
837677	0	N/A
115839	0	N/A
6700672	1	3.02
601086	0	N/A
861862	0	N/A
784424	0	N/A
133263	0	N/A
860867	0	N/A
850256	1	4.02
860961	1	4.02
861366	0	N/A
59145996	0	N/A
15179	1	3.03
850200	1	4.00
7459580	1	3.11
14655	0	N/A
4210850	0	N/A
318606	0	N/A
1512097	0	N/A
1503798	0	N/A
413	0	N/A
6701711	0	N/A
4203261	0	N/A
4209725	1	3.02
67009094	0	N/A
6701739	0	N/A
4210245	1	3.09
4210555	0	N/A
14030	0	N/A
1510161	0	N/A
1508844	1	4.07
8643	1	4.03
2000211	1	3.12
67020847	0	N/A
67010817	0	N/A
67018692	0	N/A
812813	0	N/A
1510984	1	3.08
7448310	0	N/A
4200948	0	N/A
7453007	0	N/A
4211119	0	N/A
2004183	0	N/A
114659	0	N/A
15742	1	4.06
675017	0	N/A
1804927	1	3.06
3877	0	N/A
2105550	0	N/A
8428682	1	3.09
8428686	0	N/A
15942	0	N/A
19022095	0	N/A
465076	0	N/A
8476204	1	4.05
2268	0	N/A
8078	0	N/A
106090	1	3.08
1360	0	N/A
2014470	1	4.04
