post_original,pre_original,player_name,player_id,target_file,image_field,status
_#image190.png,Alan-Ball-JR_120.png,Alan Ball,1318,L-89238741.png,/images/faces/L-89238741.png,matched(score=0.86)
_#image202.png,Allan-SIMONSEN-120.png,Allan Simonsen,4536,L-7820750.png,\images\faces\L-7820750.png,matched(score=1.00)
_#image214.png,Andreas-BREHME-120.png,Andreas Brehme,1373,L-8135.png,\images\faces\L-8135.png,matched(score=1.00)
_#image226.png,Antonio-CABRINI-120.png,Antonio Cabrini,1388,L-829862.png,\images\faces\L-829862.png,matched(score=1.00)
_#image238.png,Arie-HAAN-120.png,Arie Haan,1406,L-127626.png,\images\faces\L-127626.png,matched(score=1.00)
_#image262.png,Bernard-GENGHINI-120.png,B. Genghini,1340,L-8425408.png,\images\faces\L-8425408.png,matched(score=0.77)
_#image274.png,Berti-VOGTS-120.png,Berti Vogts,1359,L-104423.png,\images\faces\L-104423.png,matched(score=1.00)
_#image286.png,Billy-BREMNER-120.png,Billy Bremner,4510,L-785903794.png,/images/faces/L-785903794.png,matched(score=1.00)
_#image310.png,Bruno-CONTI-120.png,Bruno Conti,1389,L-829418.png,\images\faces\L-829418.png,matched(score=1.00)
_#image322.png,CARECA_120.png,Careca,1472,L-315654.png,\images\faces\L-315654.png,matched(score=1.00)
_#image323.png,Carlos Valderrama.png,C. Valderrama,4460,L-13999.png,\images\faces\L-13999.png,matched(score=0.83)
_#image324.png,Chilavert.png,J. Chilavert,4515,L-2013434.png,\images\faces\L-2013434.png,matched(score=0.90)
_#image346.png,Christian-Ziege-120.png,Christian Ziege,4547,L-9728.png,\images\faces\L-9728.png,matched(score=1.00)
_#image358.png,Ciro-FERRARA-120.png,Ciro Ferrara,4570,L-8083.png,\images\faces\L-8083.png,matched(score=1.00)
_#image370.png,Claudio-CANIGGIA-120.png,C. Caniggia,4462,L-57689403.png,/images/faces/L-57689403.png,matched(score=0.77)
_#image382.png,Claudio-GENTILE-120.png,Claudio Gentile,1382,L-918390.png,\images\faces\L-918390.png,matched(score=1.00)
_#image394.png,Claudio-TAFFAREL-120.png,C. Taffarel,1461,L-2001638.png,\images\faces\L-2001638.png,matched(score=0.77)
