ID,NOMBRE,fullName,similarity_pct
1,Macho,Jürgen Macho,58.82
2,Scharner,Paul Josef Herbert Scharner,45.71
3,Stranzl,Martin Stranzl,66.67
4,Dober,Andreas Dober,55.56
5,Pogatetz,Emanuel Pogatetz,66.67
6,Kiesenebner,Markus Kiesenebner,75.86
7,Aufhauser,Rene Aufhauser,78.26
8,Schopp,Markus Schopp,63.16
9,Ivanschitz,Andreas Ivanschitz,71.43
10,Linz,Roland Günther Linz,34.78
11,Wallner,Roman Wallner,70.00
12,Schranz,Andreas Schranz,63.64
13,Payer,Helge Payer,62.50
14,Ehmann,Anton Ehmann,66.67
15,Feldhofer,Ferdinand Feldhofer,64.29
16,A. Ibertsberger,Andreas Ibertsberger,82.35
17,Gercaliu,Ronald Gërçaliu - born Metani,45.71
18,Standfest,Joachim Standfest,69.23
19,Dospel,Ernst Dospel,66.67
20,Lasnik,Andreas Lasnik,60.00
21,Säumel,Jürgen Säumel,63.16
22,Sariyar,Yüksel Sariyar,66.67
23,Kuljic,Sanel Kuljic,66.67
24,Stijnen,Stijn Stijnen,70.00
25,Hoefkens,Carl Hoefkens,76.19
26,Van Buyten,Daniel Van Buyten,74.07
27,Van Damme,Jelle François Maria Van Damme,46.15
28,Van der Heyden,Peter Van der Heyden,82.35
29,Vanden Borre,Anthony Henri Vanden Borre,63.16
30,Simons,Timmy Simons,66.67
31,Buffel,Thomas Buffel,63.16
32,Goor,Bart Goor,61.54
33,Pieroni,Luigi Pieroni,70.00
34,Sonck,Wesley Sonck,58.82
35,Vandenbussche,Brian Vandenbussche,81.25
36,Kompany,Vincent Jean Mpoy Kompany,43.75
37,Vermaelen,Thomas Vermaelen,72.00
38,Leonard,Philippe Leonard,60.87
39,Swerts,Gill Toby Todor Swerts,42.86
40,Collen,Pieter Collen,63.16
41,Geraerts,Karel Geraerts,72.73
42,Caluwé,Tom Caluwe,75.00
43,Daerden,Koen Daerden,73.68
44,M. Mpenza,Mbo Jerome Mpenza,64.00
