ID,Nombre,Imagen,RutaCompleta
235,"Thodoris Zagorakis",/images/faces/A-104086.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-104086.png"
270,"Zoltán Balog",/images/faces/A-133354.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-133354.png"
326,"Aleksandrs Isakovs",/images/faces/A-145337.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-145337.png"
337,"Igors Korabļovs",/images/faces/A-145381.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-145381.png"
384,"James Whitley",/images/faces/A-2011604.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-2011604.png"
533,"Nnenad Djordjevic",/images/faces/A-5743896.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-5743896.png"
574,"Lubomir Reiter",/images/faces/A-5642460.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-5642460.png"
595,"Ermin Šiljak",/images/faces/A-619821.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-619821.png"
673,"Mustafa Selçuk Perekli",/images/faces/A-452852.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-452852.png"
745,"Mateus Santos",/images/faces/A-12001212.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-12001212.png"
751,"António Lebo-Lebo",/images/faces/A-95079966.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-95079966.png"
754,"Marcos Hermenegildo Joaquim",/images/faces/A-2000167699.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-2000167699.png"
874,"Abram Raselemane",/images/faces/A-5680952.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-5680952.png"
960,"Víctor Hugo García Reza",/images/faces/A-5660389.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-5660389.png"
984,"Anthony Wolfe",/images/faces/A-153977.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-153977.png"
985,"Evans Wise",/images/faces/A-1200824.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-1200824.png"
1075,"José Contreras",/images/faces/A-5250111.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-5250111.png"
1082,"Luis Eduardo Martínez",/images/faces/A-309270.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-309270.png"
1120,"Arlin Segundo Ayoví Ayoví",/images/faces/A-120976.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-120976.png"
1143,"Jorge Martín Núñez Mendoza",/images/faces/A-5280398.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-5280398.png"
1171,"Pedro Alexander García de la Cruz",/images/faces/A-5290240.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-5290240.png"
1186,"Óscar Manuel Castro Aristimuño",/images/faces/A-5512565.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-5512565.png"
1220,"Yoshikatsu Kawaguchi",/images/faces/A-2010119.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-2010119.png"
1221,"Keisuke Tsuboi",/images/faces/A-778081.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-778081.png"
1223,"Yuji Nakazawa",/images/faces/A-7100040.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-7100040.png"
1224,"Yuichi Komano",/images/faces/A-7100073.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-7100073.png"
1225,"Alessandro Santos",/images/faces/A-3900678.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-3900678.png"
1227,"Takashi Fukunishi",/images/faces/A-3900623.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-3900623.png"
1229,"Atsushi Yanagisawa",/images/faces/A-2010145.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-2010145.png"
1231,"Yoichi Doi",/images/faces/A-3900637.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-3900637.png"
1232,"Seigo Narazaki",/images/faces/A-106020.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-106020.png"
1233,"Teruyuki Moniwa",/images/faces/A-775124.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-775124.png"
1234,"Akira Kaji",/images/faces/A-3900425.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-3900425.png"
1236,"Yasuhito Endo",/images/faces/A-3900305.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-3900305.png"
1238,"Mitsuo Ogasawara",/images/faces/A-3901016.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-3901016.png"
1240,"Keiji Tamada",/images/faces/A-7100027.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-7100027.png"
1258,"Abdulaziz Mohammed Al-Khathran",/images/faces/A-144973.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-144973.png"
1259,"Ahmed Al-bahri",/images/faces/A-7920103.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-7920103.png"
1260,"Mohammed Massad Al-Muwalid Al-Harbi",/images/faces/A-7920418.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-7920418.png"
1261,"Mohammed Ameen Haidar Al-Aulaqi",/images/faces/A-1021867.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-1021867.png"
1276,"Cho Sung-Jin",/images/faces/A-5704751.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-5704751.png"
1326,"Martin Keown",\\images\\faces\\L-2004658.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-2004658.png"
1328,"Glenn Hoddle",\\images\\faces\\L-2020077.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-2020077.png"
1330,"Robert William Robson",\\images\\faces\\L-20133.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-20133.png"
1335,"Jean-Luc Ettori",\\images\\faces\\L-402979.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-402979.png"
1336,"Gérard Janvion",\\images\\faces\\L-919088.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-919088.png"
1337,"Marius Trésor",\\images\\faces\\L-912440.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-912440.png"
1338,"Maxime Bossis",\\images\\faces\\L-919080.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-919080.png"
1339,"Manuel Amorós",\\images\\faces\\L-917153.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-917153.png"
1341,"Jean Tigana",\\images\\faces\\L-402975.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-402975.png"
1342,"Alain Giresse",\\images\\faces\\L-403445.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-403445.png"
1344,"Dominique Rocheteau",\\images\\faces\\L-919477.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-919477.png"
1346,"Joël Bats",\\images\\faces\\L-400649.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-400649.png"
1351,"Luis Fernandez",\\images\\faces\\L-4200601.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-4200601.png"
1352,"Thierry Tusseau",\\images\\faces\\L-8425412.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-8425412.png"
1354,"Jean-Marc Ferreri",\\images\\faces\\L-4884.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-4884.png"
1360,"Hans-Georg Schwarzenbeck",\\images\\faces\\L-3606078.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-3606078.png"
1363,"Uli Höeness",\\images\\faces\\L-500188.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-500188.png"
1367,"Bernd Hölzenbein",\\images\\faces\\L-3606093.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-3606093.png"
1369,"Bodo Illgner",\\images\\faces\\L-4200729.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-4200729.png"
1371,"Matthias Sammer",\\images\\faces\\L-100007.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-100007.png"
1372,"Guido Ulrich Buchwald",\\images\\faces\\L-3600818.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-3600818.png"
1374,"Bernd Schuster",\\images\\faces\\L-4889.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-4889.png"
1376,"Karl-Heinz Rummenigge",\\images\\faces\\L-500187.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-500187.png"
1378,"Oliver Bierhoff",\\images\\faces\\L-14431.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-14431.png"
1385,"Fulvio Collovati",\\images\\faces\\L-837385.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-837385.png"
1396,"Angelo Di Livio",\\images\\faces\\L-8089.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-8089.png"
1398,"Roberto Mancini",\\images\\faces\\L-12523.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-12523.png"
1402,"Salvatore Schillaci",\\images\\faces\\L-835212.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-835212.png"
1404,"Jan Jongbloed",\\images\\faces\\L-120287.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-120287.png"
1408,"Rudolf Jozef Krol",\\images\\faces\\L-852150.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-852150.png"
1410,"Wim Jansen",\\images\\faces\\L-856563.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-856563.png"
1412,"John Nicholaas Rep",\\images\\faces\\L-850023.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-850023.png"
1415,"Johannes Franciscus van Breukelen",\\images\\faces\\L-36500424.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-36500424.png"
1417,"Adrianus Andreas van Tiggelen",\\images\\faces\\L-3700341.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-3700341.png"
1419,"Hubertus Aegidius Hermanus van Aerle",\\images\\faces\\L-7433.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-7433.png"
